id,category,images,name_lt,name_en,code,status,featured,new,material_lt,material_en,stones_lt,stones_en,sizes_lt,sizes_en,leadtime_lt,leadtime_en,description_lt,description_en
beribis,earrings,FFQB5036.JPG|XDDP7218.JPG,Beribis,Endless,,soldOut,,,"Sidabras 925, Auksas","Silver 925, Gold",Ametistas,Amethyst,,,,,"Besisukanti erdvėje, beribė amžinybė.","Rotating in space, an endless eternity."
dangaus-zydryne,earrings,EVMC6579.JPG|QHYS4544.JPG,Dangaus žydrynė,Sky Blue,Au/0131,soldOut,,,"Sidabras, Auksas 585","Silver, Gold 585",Topazas,Topaz,,,,,"Tarsi sklęstum virš debesų, pirštais liesdamas minkštus jų pūkus.","As if gliding above the clouds, touching soft clouds with your fingers."
debesys,earrings,HYXK1951.JPG|UNXI7718.JPG,Debesys,Clouds,A/002,onRequest,yes,,Auksas 585,Gold 585,,,,,,,"Maži auksiniai debesys, perteikiantys svajingą nuotaiką.",Small golden clouds expressing a dreamy mood.
drugelis-mieste-su-akmenimis,earrings,AQHK3944.JPG|HTFX3474.JPG|YGCE9402.JPG,Drugelis mieste (su akmenimis),Butterfly in the City (with stones),,onRequest,,,Sidabras 925,Silver 925,"Granatas, rodolitas","Garnet, rhodolite",,,,,Mažas priminimas stabtelėti ir pastebėti grožį — dabar su akmenimis.,A small reminder to stop and notice what is beautiful — now with stones.
dvi-geles,earrings,BZZC2577.JPG|GJRT7554.JPG|GWDF6528.JPG,Dvi gėlės,Two Flowers,,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",,,,,,,Du gėlių akcentai su mažais auksiniais burbuliukais — švelnūs kasdieniai linkėjimai.,Two floral accents with small gold bubble details — delicate daily wishes.
mieste,earrings,GJOJ5082.JPG|KEIF2650.JPG,Mieste,In the City,,soldOut,,,Sidabras 925,Silver 925,,,,,,,"Trapus papuošalas, randantis savo vietą negailestingame betono pasaulyje.",A delicate piece finding its place in an unforgiving concrete world.
po-vandeniu,earrings,GQDB0230.JPG|GZTQ4339.JPG,Po vandeniu,Underwater,,soldOut,,,Sidabras 925,Silver 925,,,,,,,"Maži gintaro gabalėliai, apsupti jūros gelmių grožio — amžinos vasaros pojūtis.",Small amber pieces surrounded by sea-depth beauty — an eternal-summer feeling.
primityvai,earrings,EWAG4701.JPEG|BSDWE2205.JPG|XLYU1213.JPEG,Primityvai,Primitives,,soldOut,yes,,Sidabras 925,Silver 925,,,,,,,"Kelionė į praeitį, į akmens amžių — grubiai išskaptuotos, nenudailintos formos.","A journey to the past, to the stone age — roughly hewn, unpolished forms."
sodas,earrings,DZFA6344.JPG|JTLD7370.JPG|UHOU4089.JPG,Sodas,Garden,,soldOut,,,Sidabras 925,Silver 925,"Granatas, citrinas","Garnet, citrine",,,,,Skirtingos mintys ir nuotaikos — viskas telpa į vieną spalvingą dieną.,Different thoughts and moods — everything fits into one colourful day.
zalios-gelmes,earrings,BJYI6553.JPG|BKJW0222.JPG|ENKI9265.JPG|NLBA5785.JPG|JUVN4098.JPG|PATW1732.JPG,Žalios gelmės,Green depths,Au/0133,onRequest,,,"Sidabras 925, Auksas 585",,Granatas (tsavoritas),,"Svoris ~1,70",,,,"Prisiminimas apie bundantį pavasarį, naują pradžia, o galbūt tiesiog naują dieną.",
bangose-ametista,rings,DEVK4155.JPG|PCUU1560.JPG,Bangosė (ametistas),In Waves (amethyst),,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",Ametistas,Amethyst,,,,,"Užkoduota žinutė — tai, kas lieka ir niekada nesikeičia.",An encoded message — that which remains and never changes.
bundanti-gamta,rings,HMKZ3041.JPG|UQMZ0328.JPG|IQFE9915.JPG|YHBO0847.JPG,Bundanti gamta,Awakening Nature,Z/044,onRequest,yes,,"Sidabras 925, Perlai","Silver 925, Pearls","Perlai, olivinas","Pearls, olivine",,,,,Stebėti bundančią gamtą — pirmas iš po sniego besikalančias gėlytes.,Watching nature awaken — the first flowers breaking through the snow.
ekscentriskas,rings,GOWJ1319.JPEG|IQGEE5703.JPG,Ekscentriškas,Eccentric,Z/061,soldOut,,,"Sidabras 925, Auksas 585","Silver 925, Gold 585",,,,,,,"Mažas, ekscentriškas akcentas — žėrintis aukso grūdelis ant subtilios sidabro faktūros.","A small, eccentric accent — a sparkling gold granule on subtle silver texture."
gele,engagement,IMG_E6484.JPG,Gėlė,Flower,,onRequest,,,"Sidabras 925, Auksas","Silver 925, Gold",Granatas,Garnet,,,,,"Mylimas vaikystės prisiminimas — saldi, žaisminga gėlė, žadinanti džiaugsmą.","A beloved childhood memory — a sweet, playful flower evoking joy."
serdis,rings,LUIG3767.JPG|LPPQ7553.JPG,Šerdis,,,onRequest,yes,,,"Silver 925, red gold",,ametrin,,"Weight: 24, 535g",,,"Tarsi ištašytas iš sidabro luito, saugantis savyje dvispalvį akmenį - mūsų besikeičiančias nuotaikas -  džiaugsmą ir liūdesį, įžūlumą, ryžtą...",
